Sequence,Accession,Protein,E-value,% Identity
1,KAL1765642,gb|KAL1765642.1| hypothetical protein HispidOSU_012740 [Sigm,0.141104,100.0
2,AAG28779,"gb|AAG28779.1| mutant beta-globin, partial [Homo sapiens]",0.00181971,100.0
3,EAX05662,"gb|EAX05662.1| albumin, isoform CRA_d [Homo sapiens]",0.0113038,100.0
